ï»¿POL_NO,CLAIMANT_COUNTRY_Anonymized,CLM_NO,Make,VEHICLE_MODEL,Policy From Year,Accident  Year,Body Type,SI Band,Claim Amount
Policy Number 17185,Country 053,Claim Number 12714,AUDI,A4,2019,2019,1. Saloon, 0 to 25K ," 1,600.00 "
Policy Number 17798,Country 091,Claim Number 21608,MITSUBISHI,ASX,2018,2019,2. Four Wheel Drive, 50K to 75K , 300.00 
Policy Number 16625,Country 053,Claim Number 11946,JEEP,COMPASS,2019,2019,2. Four Wheel Drive, 25K to 50K ," 8,960.00 "
Policy Number 16625,Country 053,Claim Number 11946,JEEP,COMPASS,2019,2019,2. Four Wheel Drive, 25K to 50K ,"-8,960.00 "
Policy Number 16625,Country 053,Claim Number 11946,JEEP,COMPASS,2019,2019,2. Four Wheel Drive, 25K to 50K ," 8,960.00 "
Policy Number 18250,Country 053,Claim Number 20514,HONDA,ACCORD,2019,2019,1. Saloon, 0 to 25K ," 2,700.00 "
Policy Number 18923,Country 132,Claim Number 21328,CADILLAC,ESCALADE,2019,2019,2. Four Wheel Drive, 150K to 200K ," 6,504.00 "
Policy Number 15303,Country 053,Claim Number 8589,MITSUBISHI,CANTER,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 1,275.00 "
Policy Number 15270,Country 091,Claim Number 8320,MITSUBISHI,CANTER,2018,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 28,200.00 "
Policy Number 15320,Country 091,Claim Number 8770,RENAULT,,2019,2020,"3B. Trailer, Water and Fuel Tanker", 0 to 25K , 240.00 
Policy Number 19216,Country 092,Claim Number 25048,BMW,7 SERIES,2019,2020,1. Saloon, 250K+ ," 232,497.00 "
Policy Number 19216,Country 092,Claim Number 25048,BMW,7 SERIES,2019,2020,1. Saloon, 250K+ ," 44,696.00 "
Policy Number 15911,Country 137,Claim Number 11986,BMW,X5,2019,2019,2. Four Wheel Drive, 50K to 75K , 750.00 
Policy Number 16458,Country 098,Claim Number 12832,MERCEDES BENZ,E-CLASS,2019,2020,1. Saloon, 150K to 200K ," 63,440.65 "
Policy Number 16458,Country 098,Claim Number 12832,MERCEDES BENZ,E-CLASS,2019,2020,1. Saloon, 150K to 200K ,-500.00 
Policy Number 19282,Country 091,Claim Number 25668,TOYOTA,RAV 4,2019,2020,2. Four Wheel Drive, 100K to 150K ," 9,975.00 "
Policy Number 19282,Country 091,Claim Number 25668,TOYOTA,RAV 4,2019,2020,2. Four Wheel Drive, 100K to 150K ,-750.00 
Policy Number 19192,Country 053,Claim Number 24217,NISSAN,CIVILIAN,2019,2019,4. Buses, 250K+ , 350.00 
Policy Number 16590,Country 091,Claim Number 12359,HONDA,JAZZ,2019,2019,1. Saloon, 0 to 25K ," 1,470.00 "
Policy Number 16590,Country 091,Claim Number 12359,HONDA,JAZZ,2019,2019,1. Saloon, 0 to 25K ,"-1,470.00 "
Policy Number 16590,Country 091,Claim Number 12359,HONDA,JAZZ,2019,2019,1. Saloon, 0 to 25K ," 1,400.00 "
Policy Number 17469,Country 094,Claim Number 20733,CHEVROLET,TRAILBLAZER,2018,2019,2. Four Wheel Drive, 75K to 100K , 350.00 
Policy Number 17967,Country 035,Claim Number 21212,AUDI,Q7,2019,2019,2. Four Wheel Drive, 150K to 200K ," 6,000.00 "
Policy Number 17967,Country 035,Claim Number 21212,AUDI,Q7,2019,2019,2. Four Wheel Drive, 150K to 200K ,"-1,000.00 "
Policy Number 16864,Country 053,Claim Number 12255,MAZDA,6,2019,2019,1. Saloon, 50K to 75K ," 6,800.00 "
Policy Number 18348,Country 116,Claim Number 21317,MAZDA,CX-5,2019,2019,2. Four Wheel Drive, 50K to 75K ," 7,300.00 "
Policy Number 18732,Country 053,Claim Number 21731,MITSUBISHI,ASX,2019,2020,2. Four Wheel Drive, 25K to 50K ," 1,200.00 "
Policy Number 17417,Country 053,Claim Number 16960,GEELY,EMGRAND X7,2018,2018,2. Four Wheel Drive, 50K to 75K ," 1,300.00 "
Policy Number 15352,Country 142,Claim Number 10789,PORSCHE,PANAMERA,2019,2019,1. Saloon, 250K+ ," 3,900.00 "
Policy Number 15352,Country 142,Claim Number 10789,PORSCHE,PANAMERA,2019,2019,1. Saloon, 250K+ ,"-1,400.00 "
Policy Number 18595,Country 102,Claim Number 19914,MAZDA,CX-3,2019,2019,2. Four Wheel Drive, 50K to 75K ," 4,800.00 "
Policy Number 18595,Country 102,Claim Number 19914,MAZDA,CX-3,2019,2019,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 16258,Country 100,Claim Number 12493,MAZDA,CX-5,2019,2019,2. Four Wheel Drive, 50K to 75K ," 10,400.00 "
Policy Number 16258,Country 100,Claim Number 12493,MAZDA,CX-5,2019,2019,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 18874,Country 053,Claim Number 21434,MAZDA,,2019,2019,2. Four Wheel Drive, 100K to 150K ," 4,900.00 "
Policy Number 16138,Country 053,Claim Number 11970,MAZDA,CX-5,2019,2019,2. Four Wheel Drive, 50K to 75K ," 8,300.00 "
Policy Number 18348,Country 116,Claim Number 21317,MAZDA,CX-5,2019,2019,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 18874,Country 053,Claim Number 21434,MAZDA,,2019,2019,2. Four Wheel Drive, 100K to 150K ,-500.00 
Policy Number 15277,Country 136,Claim Number 8522,TOYOTA,CAMRY,2019,2019,1. Saloon, 250K+ , 350.00 
Policy Number 16758,Country 053,Claim Number 12116,TOYOTA,COROLLA,2019,2019,1. Saloon, 50K to 75K ," 3,400.00 "
Policy Number 16758,Country 053,Claim Number 12116,TOYOTA,COROLLA,2019,2019,1. Saloon, 50K to 75K ,-350.00 
Policy Number 15785,Country 053,Claim Number 12709,FORD,FUSION,2019,2020,1. Saloon, 25K to 50K ," 12,000.00 "
Policy Number 17137,Country 091,Claim Number 12781,MINI,COOPER,2019,2020,1. Saloon, 75K to 100K ," 55,684.71 "
Policy Number 17310,Country 053,Claim Number 12971,KIA,OPTIMA,2019,2020,1. Saloon, 25K to 50K , 800.00 
Policy Number 16083,Country 057,Claim Number 11449,MAZDA,3,2019,2019,1. Saloon, 25K to 50K ," 9,700.00 "
Policy Number 16376,Country 094,Claim Number 11991,MAZDA,3,2019,2019,1. Saloon, 50K to 75K ," 2,800.00 "
Policy Number 15778,Country 091,Claim Number 11959,MAZDA,6,2019,2019,1. Saloon, 50K to 75K , 350.00 
Policy Number 18649,Country 016,Claim Number 21621,TOYOTA,RAV 4,2019,2020,2. Four Wheel Drive, 75K to 100K ," 3,400.00 "
Policy Number 15861,Country 038,Claim Number 12496,TOYOTA,COROLLA,2019,2019,1. Saloon, 25K to 50K ," 6,000.00 "
Policy Number 15861,Country 038,Claim Number 12496,TOYOTA,COROLLA,2019,2019,1. Saloon, 25K to 50K ,-350.00 
Policy Number 17855,Country 053,Claim Number 21489,TOYOTA,LAND CRUISER PRADO,2018,2019,2. Four Wheel Drive, 150K to 200K ," 5,000.00 "
Policy Number 16602,Country 053,Claim Number 12686,JEEP,GRAND CHEROKEE,2019,2020,2. Four Wheel Drive, 150K to 200K ," 8,000.00 "
Policy Number 15573,Country 115,Claim Number 12177,JEEP,GRAND CHEROKEE,2019,2019,2. Four Wheel Drive, 100K to 150K ," 8,900.00 "
Policy Number 15573,Country 115,Claim Number 12177,JEEP,GRAND CHEROKEE,2019,2019,2. Four Wheel Drive, 100K to 150K ,"-1,000.00 "
Policy Number 17137,Country 091,Claim Number 12781,MINI,COOPER,2019,2020,1. Saloon, 75K to 100K ," 17,716.29 "
Policy Number 15785,Country 053,Claim Number 12709,FORD,FUSION,2019,2020,1. Saloon, 25K to 50K , 550.00 
Policy Number 19196,Country 053,Claim Number 24218,NISSAN,ALTIMA,2019,2019,1. Saloon, 250K+ ," 45,236.00 "
Policy Number 16083,Country 057,Claim Number 11449,MAZDA,3,2019,2019,1. Saloon, 25K to 50K ,-350.00 
Policy Number 16084,Country 091,Claim Number 12310,CHEVROLET,CRUZE,2019,2019,1. Saloon, 50K to 75K , 134.00 
Policy Number 16086,Country 053,Claim Number 12993,HONDA,CIVIC,2019,2020,1. Saloon, 50K to 75K ," 60,152.00 "
Policy Number 16086,Country 053,Claim Number 12993,HONDA,CIVIC,2019,2020,1. Saloon, 50K to 75K ,-350.00 
Policy Number 16260,Country 102,Claim Number 12842,MAZDA,2,2019,2020,1. Saloon, 0 to 25K ,-350.00 
Policy Number 16260,Country 102,Claim Number 12842,MAZDA,2,2019,2020,1. Saloon, 0 to 25K ," 5,150.00 "
Policy Number 16199,Country 091,Claim Number 12837,KIA,CERATO,2019,2020,1. Saloon, 25K to 50K ," 1,500.00 "
Policy Number 16199,Country 091,Claim Number 12837,KIA,CERATO,2019,2020,1. Saloon, 25K to 50K ,-350.00 
Policy Number 19141,Country 122,Claim Number 23555,GMC,YUKON,2019,2019,2. Four Wheel Drive, 250K+ ," 37,000.00 "
Policy Number 19141,Country 122,Claim Number 23555,GMC,YUKON,2019,2019,2. Four Wheel Drive, 250K+ ,"-1,000.00 "
Policy Number 15787,Country 091,Claim Number 11057,CHEVROLET,CAPRICE,2019,2019,1. Saloon, 25K to 50K ," 492,429.00 "
Policy Number 17176,Country 018,Claim Number 13060,KIA,SPORTAGE,2019,2020,2. Four Wheel Drive, 25K to 50K ," 41,155.00 "
Policy Number 17176,Country 018,Claim Number 13060,KIA,SPORTAGE,2019,2020,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 16690,Country 092,Claim Number 13067,HYUNDAI,TUCSON,2019,2020,2. Four Wheel Drive, 50K to 75K ," 45,696.00 "
Policy Number 17179,Not Available,Claim Number 13159,HONDA,CIVIC,2019,2020,1. Saloon, 0 to 25K , 800.00 
Policy Number 18597,Country 116,Claim Number 21553,MITSUBISHI,ASX,2019,2020,2. Four Wheel Drive, 25K to 50K ," 5,000.00 "
Policy Number 18643,Country 053,Claim Number 21833,TOYOTA,CAMRY,2019,2020,1. Saloon, 0 to 25K ," 2,600.00 "
Policy Number 17279,Country 094,Claim Number 13005,MITSUBISHI,GALANT,2019,2020,1. Saloon, 0 to 25K ," 19,372.00 "
Policy Number 17279,Country 094,Claim Number 13005,MITSUBISHI,GALANT,2019,2020,1. Saloon, 0 to 25K ,-350.00 
Policy Number 15289,Country 091,Claim Number 8479,ISUZU,NPR,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 70,909.22 "
Policy Number 15289,Country 091,Claim Number 8479,ISUZU,NPR,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 16,926.78 "
Policy Number 16990,Country 053,Claim Number 12592,NISSAN,TIIDA,2019,2019,1. Saloon, 0 to 25K ," 1,300.00 "
Policy Number 16293,Country 053,Claim Number 12677,HONDA,CRV,2019,2020,2. Four Wheel Drive, 25K to 50K , 900.00 
Policy Number 16160,Country 083,Claim Number 11600,NISSAN,SUNNY,2019,2019,1. Saloon, 25K to 50K ," 2,000.00 "
Policy Number 18198,Country 053,Claim Number 21512,KIA,SPORTAGE,2019,2019,2. Four Wheel Drive, 50K to 75K ," 1,400.00 "
Policy Number 18396,Country 053,Claim Number 21677,NISSAN,SENTRA,2019,2020,1. Saloon, 25K to 50K ," 1,000.00 "
Policy Number 18396,Country 053,Claim Number 21751,NISSAN,SENTRA,2019,2020,1. Saloon, 25K to 50K , 700.00 
Policy Number 18396,Country 053,Claim Number 21751,NISSAN,SENTRA,2019,2020,1. Saloon, 25K to 50K ,-350.00 
Policy Number 15998,Country 055,Claim Number 12163,LEXUS,NX200,2019,2019,2. Four Wheel Drive, 75K to 100K ," 1,400.00 "
Policy Number 15998,Country 055,Claim Number 12163,LEXUS,NX200,2019,2019,2. Four Wheel Drive, 75K to 100K ,-350.00 
Policy Number 15998,Country 055,Claim Number 12163,LEXUS,NX200,2019,2019,2. Four Wheel Drive, 75K to 100K ,-140.00 
Policy Number 16057,Country 062,Claim Number 12951,FORD,ESCAPE,2019,2020,2. Four Wheel Drive, 25K to 50K ," 1,200.00 "
Policy Number 16057,Country 062,Claim Number 12951,FORD,ESCAPE,2019,2020,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 18592,Country 053,Claim Number 21696,HONDA,CRV,2019,2020,2. Four Wheel Drive, 25K to 50K ," 2,900.00 "
Policy Number 18758,Country 053,Claim Number 21236,NISSAN,X TRAIL,2019,2019,2. Four Wheel Drive, 75K to 100K ," 3,500.00 "
Policy Number 18758,Country 053,Claim Number 21236,NISSAN,X TRAIL,2019,2019,2. Four Wheel Drive, 75K to 100K ,-350.00 
Policy Number 17974,Country 053,Claim Number 21485,MITSUBISHI,PAJERO SPORT,2019,2019,2. Four Wheel Drive, 25K to 50K , 950.00 
Policy Number 16650,Country 134,Claim Number 12552,TOYOTA,COROLLA,2019,2019,1. Saloon, 50K to 75K ," 14,900.00 "
Policy Number 15813,Country 053,Claim Number 12675,FORD,ESCAPE,2019,2020,2. Four Wheel Drive, 0 to 25K ," 2,600.00 "
Policy Number 15813,Country 053,Claim Number 12675,FORD,ESCAPE,2019,2020,2. Four Wheel Drive, 0 to 25K ,-350.00 
Policy Number 15797,Country 053,Claim Number 12875,NISSAN,ALTIMA,2019,2020,1. Saloon, 0 to 25K ," 3,800.00 "
Policy Number 17954,Country 136,Claim Number 21773,LAND ROVER,RANGE ROVER SPORT,2019,2020,2. Four Wheel Drive, 150K to 200K , 400.00 
Policy Number 16922,Country 091,Claim Number 12761,VOLKSWAGEN,JETTA,2019,2019,1. Saloon, 0 to 25K ," 2,800.00 "
Policy Number 16673,Country 053,Claim Number 12939,HONDA,CRV,2019,2020,2. Four Wheel Drive, 25K to 50K ," 2,800.00 "
Policy Number 16673,Country 053,Claim Number 12939,HONDA,CRV,2019,2020,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 18825,Country 053,Claim Number 21780,TOYOTA,FORTUNER,2019,2020,2. Four Wheel Drive, 25K to 50K ," 2,600.00 "
Policy Number 18825,Country 053,Claim Number 21780,TOYOTA,FORTUNER,2019,2020,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 18825,Country 053,Claim Number 21766,TOYOTA,FORTUNER,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,000.00 "
Policy Number 16318,Country 094,Claim Number 12558,TOYOTA,YARIS,2019,2019,1. Saloon, 0 to 25K ," 1,100.00 "
Policy Number 17938,Country 053,Claim Number 20711,JEEP,GRAND CHEROKEE,2019,2019,2. Four Wheel Drive, 50K to 75K ," 1,800.00 "
Policy Number 16927,Country 094,Claim Number 12344,FORD,FOCUS,2019,2019,1. Saloon, 0 to 25K ," 3,200.00 "
Policy Number 17922,Country 053,Claim Number 21554,TOYOTA,CAMRY,2019,2020,1. Saloon, 0 to 25K , 650.00 
Policy Number 17592,Country 053,Claim Number 20757,VOLKSWAGEN,TIGUAN,2018,2019,2. Four Wheel Drive, 25K to 50K ," 4,200.00 "
Policy Number 17592,Country 053,Claim Number 20757,VOLKSWAGEN,TIGUAN,2018,2019,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 18233,Not Available,Claim Number 21230,TOYOTA,FORTUNER,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,400.00 "
Policy Number 16502,Country 053,Claim Number 12079,NISSAN,TIIDA,2019,2019,1. Saloon, 0 to 25K ," 3,500.00 "
Policy Number 16084,Country 091,Claim Number 12310,CHEVROLET,CRUZE,2019,2019,1. Saloon, 50K to 75K ,-134.00 
Policy Number 16084,Country 091,Claim Number 12310,CHEVROLET,CRUZE,2019,2019,1. Saloon, 50K to 75K , 201.00 
Policy Number 17279,Country 094,Claim Number 13005,MITSUBISHI,GALANT,2019,2020,1. Saloon, 0 to 25K , 520.00 
Policy Number 19163,Country 038,Claim Number 23552,GREAT WALL,WINGLE,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 0 to 25K ," 19,403.00 "
Policy Number 16590,Country 091,Claim Number 12359,HONDA,JAZZ,2019,2019,1. Saloon, 0 to 25K ,"-1,400.00 "
Policy Number 16590,Country 091,Claim Number 12359,HONDA,JAZZ,2019,2019,1. Saloon, 0 to 25K ," 1,400.00 "
Policy Number 16084,Country 091,Claim Number 12310,CHEVROLET,CRUZE,2019,2019,1. Saloon, 50K to 75K , 195.00 
Policy Number 15301,Not Available,Claim Number 8627,MERCEDES,3848,2019,2019,3B. Heavy Trucks over 3 Tons, 250K+ ," 1,300.00 "
Policy Number 15301,Not Available,Claim Number 8584,MERCEDES,2040,2019,2019,3B. Heavy Trucks over 3 Tons, 250K+ ," 3,200.00 "
Policy Number 18413,Country 094,Claim Number 21601,MITSUBISHI,ASX,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,200.00 "
Policy Number 18413,Country 094,Claim Number 21601,MITSUBISHI,ASX,2019,2019,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 16760,Country 094,Claim Number 12341,CHEVROLET,TRAX,2019,2019,2. Four Wheel Drive, 25K to 50K ," 10,000.00 "
Policy Number 18167,Country 091,Claim Number 21627,NISSAN,PATROL,2019,2020,2. Four Wheel Drive, 75K to 100K ," 2,700.00 "
Policy Number 16169,Country 053,Claim Number 11813,GAC,GA3,2019,2019,1. Saloon, 0 to 25K ," 1,200.00 "
Policy Number 16169,Country 053,Claim Number 11813,GAC,GA3,2019,2019,1. Saloon, 0 to 25K ,-350.00 
Policy Number 17549,Country 053,Claim Number 21228,TOYOTA,CAMRY,2018,2019,1. Saloon, 25K to 50K ," 26,005.00 "
Policy Number 17549,Country 053,Claim Number 21228,TOYOTA,CAMRY,2018,2019,1. Saloon, 25K to 50K ,-350.00 
Policy Number 17549,Country 053,Claim Number 21228,TOYOTA,CAMRY,2018,2019,1. Saloon, 25K to 50K , 520.00 
Policy Number 17037,Country 053,Claim Number 13041,MG,5,2019,2020,1. Saloon, 25K to 50K , 375.00 
Policy Number 16150,Country 053,Claim Number 12725,MAZDA,6,2019,2019,1. Saloon, 25K to 50K , 225.00 
Policy Number 18637,Country 053,Claim Number 20710,MAZDA,2,2019,2019,1. Saloon, 0 to 25K ," 4,600.00 "
Policy Number 15535,Country 053,Claim Number 12568,VOLKSWAGEN,TIGUAN,2019,2019,2. Four Wheel Drive, 0 to 25K ," 2,500.00 "
Policy Number 15301,Country 091,Claim Number 8591,MERCEDES,,2019,2020,3B. Heavy Trucks over 3 Tons, 250K+ ," 4,300.00 "
Policy Number 15301,Country 053,Claim Number 8601,MERCEDES,,2019,2020,3B. Heavy Trucks over 3 Tons, 250K+ ," 6,900.00 "
Policy Number 15301,Country 053,Claim Number 8601,MERCEDES,,2019,2020,3B. Heavy Trucks over 3 Tons, 250K+ ,"-1,000.00 "
Policy Number 15192,Country 091,Claim Number 5954,NISSAN,MICRO,2019,2019,4. Buses, 75K to 100K ," 1,700.00 "
Policy Number 15046,Country 091,Claim Number 5980,MAXUS,V80,2019,2019,4. Buses, 50K to 75K ," 1,900.00 "
Policy Number 15202,Country 053,Claim Number 6028,TOYOTA,COASTER,2019,2020,4. Buses, 100K to 150K ," 1,400.00 "
Policy Number 15167,Country 091,Claim Number 5973,TATA,1316,2019,2019,4. Buses, 50K to 75K ," 4,200.00 "
Policy Number 15167,Country 091,Claim Number 5973,TATA,1316,2019,2019,4. Buses, 50K to 75K ,-750.00 
Policy Number 18000,Country 091,Claim Number 19622,CADILLAC,ESCALADE,2019,2019,2. Four Wheel Drive, 150K to 200K ," 18,950.00 "
Policy Number 18000,Country 091,Claim Number 19622,CADILLAC,ESCALADE,2019,2019,2. Four Wheel Drive, 150K to 200K ,"-1,200.00 "
Policy Number 18373,Country 118,Claim Number 21591,NISSAN,SENTRA,2019,2019,1. Saloon, 25K to 50K ," 2,400.00 "
Policy Number 18373,Country 118,Claim Number 21591,NISSAN,SENTRA,2019,2019,1. Saloon, 25K to 50K ,-250.00 
Policy Number 17881,Country 113,Claim Number 21506,MAZDA,6,2018,2019,1. Saloon, 0 to 25K ," 1,800.00 "
Policy Number 15136,Country 091,Claim Number 5971,ASHOK LEYLAND,FALCON,2019,2019,4. Buses, 100K to 150K ," 1,500.00 "
Policy Number 17910,Country 053,Claim Number 21443,NISSAN,SENTRA,2019,2019,1. Saloon, 25K to 50K ," 1,400.00 "
Policy Number 15008,Country 091,Claim Number 5918,ASHOK LEYLAND,FALCON,2018,2019,4. Buses, 50K to 75K ," 1,600.00 "
Policy Number 15160,Country 091,Claim Number 5958,MITSUBISHI,ROSA,2019,2019,4. Buses, 100K to 150K ," 19,000.00 "
Policy Number 15160,Country 091,Claim Number 5958,MITSUBISHI,ROSA,2019,2019,4. Buses, 100K to 150K ,-750.00 
Policy Number 15170,Country 091,Claim Number 6017,ASHOK LEYLAND,FALCON,2019,2020,4. Buses, 150K to 200K ," 3,800.00 "
Policy Number 15170,Country 091,Claim Number 6017,ASHOK LEYLAND,FALCON,2019,2020,4. Buses, 150K to 200K ,-500.00 
Policy Number 15170,Country 091,Claim Number 6017,ASHOK LEYLAND,FALCON,2019,2020,4. Buses, 150K to 200K ,-380.00 
Policy Number 15187,Country 053,Claim Number 6012,TOYOTA,COASTER,2019,2020,4. Buses, 100K to 150K ," 4,900.00 "
Policy Number 15534,Country 091,Claim Number 12649,TOYOTA,LAND CRUISER,2019,2020,2. Four Wheel Drive, 50K to 75K ," 6,800.00 "
Policy Number 16737,Country 091,Claim Number 12652,FORD,TAURUS,2019,2020,1. Saloon, 25K to 50K ," 3,700.00 "
Policy Number 16737,Country 091,Claim Number 12652,FORD,TAURUS,2019,2020,1. Saloon, 25K to 50K ,-350.00 
Policy Number 17636,Country 053,Claim Number 20407,CHEVROLET,CRUZE,2018,2019,1. Saloon, 25K to 50K ," 1,500.00 "
Policy Number 15225,Country 091,Claim Number 5974,MITSUBISHI,ROSA,2019,2019,4. Buses, 75K to 100K ," 1,800.00 "
Policy Number 15186,Country 053,Claim Number 6006,HIGER,KLQ6858Q,2019,2020,4. Buses, 150K to 200K ," 3,500.00 "
Policy Number 15186,Country 053,Claim Number 6006,HIGER,KLQ6858Q,2019,2020,4. Buses, 150K to 200K ,-750.00 
Policy Number 15186,Country 053,Claim Number 5972,HIGER,KLQ6858Q,2019,2019,4. Buses, 150K to 200K ," 7,800.00 "
Policy Number 15186,Country 053,Claim Number 5972,HIGER,KLQ6858Q,2019,2019,4. Buses, 150K to 200K ,-750.00 
Policy Number 15199,Country 091,Claim Number 5998,YUTONG,LUXURY,2019,2020,4. Buses, 250K+ ," 4,900.00 "
Policy Number 19050,Country 062,Claim Number 21584,KIA,RIO,2019,2020,1. Saloon, 0 to 25K ," 2,600.00 "
Policy Number 19050,Country 062,Claim Number 21584,KIA,RIO,2019,2020,1. Saloon, 0 to 25K ,-350.00 
Policy Number 16365,Country 137,Claim Number 12851,KIA,SPORTAGE,2019,2020,2. Four Wheel Drive, 25K to 50K ," 1,200.00 "
Policy Number 16269,Not Available,Claim Number 12560,KIA,OPTIMA,2019,2019,1. Saloon, 25K to 50K ," 1,800.00 "
Policy Number 18890,Not Available,Claim Number 21565,TOYOTA,COROLLA,2019,2019,1. Saloon, 25K to 50K , 950.00 
Policy Number 15252,Country 136,Claim Number 6266,TOYOTA,FJ CRUISER,2019,2020,2. Four Wheel Drive, 0 to 25K ," 2,200.00 "
Policy Number 15074,Country 012,Claim Number 5986,TOYOTA,COASTER,2019,2019,4. Buses, 75K to 100K ," 1,500.00 "
Policy Number 17586,Country 053,Claim Number 20800,RENAULT,KOLEOS,2018,2019,2. Four Wheel Drive, 25K to 50K ," 1,300.00 "
Policy Number 16725,Country 137,Claim Number 12002,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 25K to 50K ," 1,100.00 "
Policy Number 19239,Country 136,Claim Number 25655,CADILLAC,CT6,2018,2019,1. Saloon, 200K to 250K ," 4,000.00 "
Policy Number 19130,Country 091,Claim Number 23574,MITSUBISHI,CANTER,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 25K to 50K , 650.00 
Policy Number 18368,Country 053,Claim Number 21481,MITSUBISHI,LANCER,2019,2019,1. Saloon, 25K to 50K ," 4,300.00 "
Policy Number 16284,Country 094,Claim Number 12039,NISSAN,PATHFINDER,2019,2019,2. Four Wheel Drive, 50K to 75K , 950.00 
Policy Number 16351,Country 053,Claim Number 12490,FORD,FUSION,2019,2019,1. Saloon, 25K to 50K ," 2,400.00 "
Policy Number 18706,Country 137,Claim Number 21391,VOLKSWAGEN,TIGUAN,2019,2019,2. Four Wheel Drive, 25K to 50K ," 1,600.00 "
Policy Number 17975,Country 053,Claim Number 21448,HONDA,CRV,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,400.00 "
Policy Number 18627,Not Available,Claim Number 20944,NISSAN,TIIDA,2019,2019,1. Saloon, 25K to 50K ," 2,400.00 "
Policy Number 17710,Country 020,Claim Number 20854,TOYOTA,RAV 4,2018,2019,2. Four Wheel Drive, 25K to 50K ," 4,800.00 "
Policy Number 17651,Country 115,Claim Number 20744,HONDA,CRV,2018,2019,2. Four Wheel Drive, 25K to 50K ," 3,300.00 "
Policy Number 17593,Country 053,Claim Number 20905,HYUNDAI,TUCSON,2018,2019,2. Four Wheel Drive, 25K to 50K ," 1,900.00 "
Policy Number 17687,Country 129,Claim Number 20911,JEEP,GRAND CHEROKEE,2018,2019,2. Four Wheel Drive, 25K to 50K ," 2,300.00 "
Policy Number 17687,Country 129,Claim Number 20911,JEEP,GRAND CHEROKEE,2018,2019,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 15916,Country 094,Claim Number 12138,MITSUBISHI,LANCER,2019,2019,1. Saloon, 0 to 25K ," 1,500.00 "
Policy Number 18484,Country 053,Claim Number 21134,HYUNDAI,SANTA FE,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,100.00 "
Policy Number 18515,Not Available,Claim Number 20358,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,500.00 "
Policy Number 15040,Not Available,Claim Number 5894,NISSAN,MT,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 75K to 100K ," 7,500.00 "
Policy Number 15455,Country 053,Claim Number 12823,MAZDA,CX-9,2019,2019,2. Four Wheel Drive, 100K to 150K ," 3,693.00 "
Policy Number 18382,Country 091,Claim Number 21418,HONDA,Accord LX HA160210,2019,2019,1. Saloon, 50K to 75K , 250.00 
Policy Number 15192,Country 091,Claim Number 5954,NISSAN,MICRO,2019,2019,4. Buses, 75K to 100K ,-750.00 
Policy Number 15192,Country 091,Claim Number 5954,NISSAN,MICRO,2019,2019,4. Buses, 75K to 100K ,-170.00 
Policy Number 19183,Country 053,Claim Number 23784,NISSAN,TIIDA,2019,2019,1. Saloon, 0 to 25K , 800.00 
Policy Number 19125,Country 053,Claim Number 23561,MERCEDES,2040,2018,2019,3B. Heavy Trucks over 3 Tons, 150K to 200K ,"-1,500.00 "
Policy Number 18685,Country 053,Claim Number 20906,NISSAN,SUNNY,2019,2019,1. Saloon, 0 to 25K ," 3,300.00 "
Policy Number 16045,Country 091,Claim Number 11884,NISSAN,ARMADA,2019,2019,2. Four Wheel Drive, 50K to 75K ," 1,900.00 "
Policy Number 18155,Country 094,Claim Number 21016,HONDA,CIVIC,2019,2019,1. Saloon, 0 to 25K ," 3,200.00 "
Policy Number 17225,Country 083,Claim Number 12507,KIA,SPORTAGE,2019,2019,2. Four Wheel Drive, 25K to 50K ," 4,900.00 "
Policy Number 18712,Country 091,Claim Number 21394,MERCEDES-BENZ,C200,2019,2019,1. Saloon, 50K to 75K ," 17,500.00 "
Policy Number 18712,Country 091,Claim Number 21394,MERCEDES-BENZ,C200,2019,2019,1. Saloon, 50K to 75K ,-350.00 
